,MAE,MSE,RMSE,R2,CV_R2
Linear Regression,35.65556436547008,3978.460475206337,63.075038447918025,0.5486060677931558,0.409410036233613
Random Forest,36.41899312884726,3601.1545879254054,60.00962079471429,0.5914149857567554,0.42496721396282144
